Height [mm],Pressure [Atm]
14,0.61834
13.9,0.61844
14,0.61954
14.3,0.61874
14.2,0.61834
14.2,0.61894
14.2,0.61914
14,0.61834
13.7,0.61874
13.8,0.61844
14,0.61904
13.9,0.61914
13.9,0.61894
13.8,0.61854
13.7,0.61834
13.8,0.61884
13.9,0.61924
14,0.61834
14.2,0.61914
14.4,0.61884
14.4,0.61864
14.3,0.61844
13.9,0.61874
14.3,0.61824
14,0.61844
13.8,0.61814
14.1,0.61844
14.2,0.61874
13.9,0.61864
13.9,0.61944
13.9,0.61954
13.9,0.61964
13.9,0.61984
14,0.62044
14.2,0.61984
14.2,0.62054
13.8,0.61954
13.9,0.62044
13.8,0.62014
13.9,0.61894
13.9,0.61934
13.8,0.62014
13.8,0.61944
13.8,0.61864
13.8,0.61954
13.7,0.61944
13.8,0.61864
14,0.61934
13.8,0.61824
13.8,0.61924
13.8,0.61904
13.5,0.61924
13.5,0.61924
13.8,0.61894
13.8,0.62854
13.9,0.66514
14,0.69924
14.5,0.71634
14.6,0.71564
14.5,0.71034
14.4,0.70614
14.5,0.70234
14.5,0.69944
14.5,0.69554
14.5,0.69244
14.4,0.69314
14.5,0.69254
14.5,0.69344
14.5,0.69414
14.5,0.69364
14.5,0.69464
14.9,0.69304
15.1,0.69334
15,0.69354
15,0.69284
15.2,0.69314
15,0.69344
15,0.69334
15.1,0.69314
15.1,0.69364
15,0.69354
15.2,0.69324
15.1,0.69274
15,0.69334
14.9,0.69304
14.9,0.69334
15.1,0.69274
15.1,0.69294
15.1,0.69334
15,0.69234
15,0.69334
14.9,0.69364
15.1,0.69294
15.1,0.69304
15,0.69364
15,0.69464
14.9,0.69354
15.1,0.69394
15.1,0.69384
15,0.69504
15,0.69364
15.1,0.69424
15.2,0.69374
15.1,0.69414
15,0.69434
15,0.69464
15.2,0.69464
15,0.69494
15,0.69454
15.2,0.69394
15,0.69264
15.1,0.69324
15,0.69234
15,0.69304
15.1,0.69394
15,0.69524
15.1,0.69494
15.1,0.69454
15.1,0.69524
15.1,0.69504
15.1,0.69514
15.1,0.69464
15,0.69434
15,0.69474
15.4,0.69454
15.6,0.69444
15.6,0.69364
15.6,0.69384
15.4,0.69344
15.4,0.69484
15.2,0.69404
15.5,0.69504
15.3,0.69474
15,0.69554
15.4,0.69504
15.1,0.69584
15.1,0.69654
15.3,0.69574
15.4,0.69564
15.1,0.69554
15.1,0.69514
15.3,0.69504
15.6,0.69524
15.5,0.69424
15.7,0.69374
15.6,0.69384
15.6,0.69374
15.4,0.69414
15.7,0.69464
15.5,0.69414
15.5,0.69524
15.7,0.69454
15.6,0.69524
15.6,0.69494
15.6,0.69534
15.6,0.69494
15.5,0.69564
15.7,0.69504
15.5,0.69594
15.6,0.69514
15.5,0.69494
15.5,0.69564
15.6,0.69504
15.5,0.69504
15.9,0.69524
16,0.69504
16.1,0.69424
16.2,0.69424
16.3,0.69474
16.2,0.69444
16.2,0.69484
16.2,0.69404
15.6,0.69454
15.7,0.69464
15.6,0.69384
15.6,0.69474
15.6,0.69374
15.7,0.69434
15.7,0.69434
16,0.69444
16.3,0.69424
16.2,0.69484
16.3,0.69414
16.2,0.69414
16.2,0.69424
16.3,0.69474
16.2,0.69534
16.2,0.69404
16.3,0.69454
16,0.69424
15.9,0.69434
15.6,0.69424
15.6,0.69484
15.9,0.69464
16.3,0.69474
16.2,0.69444
16.2,0.69474
16.2,0.69484
16.2,0.69474
16.3,0.69394
16.3,0.69434
16.2,0.69444
16.2,0.69354
16.2,0.69424
16.1,0.69424
16.4,0.69284
16.2,0.69594
16,0.72494
16.1,0.76424
15.9,0.78834
16.1,0.79204
16.1,0.78734
16.2,0.78304
16.3,0.77864
16.5,0.77524
16.7,0.77104
16.7,0.76784
16.6,0.76724
16.7,0.76674
16.6,0.76634
16.4,0.76724
